Inception	directed_by	Christopher_Nolan
Inception	starred_actors	Leonardo_DiCaprio
Inception	genre	Science_Fiction
Christopher_Nolan	born_in	United_Kingdom
Christopher_Nolan	spouse	Emma_Thomas
Emma_Thomas	produced	Inception
The_Dark_Knight	directed_by	Christopher_Nolan
The_Dark_Knight	starred_actors	Christian_Bale
Christian_Bale	born_in	United_Kingdom
Titanic	directed_by	James_Cameron
Titanic	starred_actors	Leonardo_DiCaprio
James_Cameron	born_in	Canada
Avatar	directed_by	James_Cameron
Avatar	genre	Science_Fiction
